Word,Alternate Spellings,Syllables,Meaning (Tamil),Meaning (English),Related Words,,
achuchukkattu,,,,,,,
achchukkoodam,,,,,,,
achuchudhan,,,,,,,
achuchulakkai,,,,,,,
achchuvini,,,,,,,
achchuvinithaevar,,,,,,,
achchuRu,,,,,,,
achchuRuththu,,,,,,,
achchena,,,,,,,
achchoa,,,,,,,
asakku,,,,,,,
asagaayasooran,,,,,,,
asangadham,,,,,,,
asangiyam,,,,,,,
asangu,,,,,,,
asanjalam,,,,,,,
asattan,,,,,,,
asattai,,,,,,,
asadan,,,,,,,
asaduthattu,,,,,,,
asaduvazhi,,,,,,,
asaththiyam,,,,,,,
asaththu,,,,,,,
asadhi,,,,,,,
asadhiyaadu,,,,,,,
asandharppam,,,,,,,
asappiyam,,,,,,,
asappu,,,,,,,
asam,,,,,,,
asambaavidham,,,,,,,
asambiraetchiyam,,,,,,,
asambiraetchiya kaariyaththuvam,,,,,,,
asamanjan,,,,,,,
asamandham,,,,,,,
asamam,,,,,,,
asardhal,,,,,,,
asarappodu,,,,,,,
asaram,,,,,,,
asareeri,,,,,,,
asal,,,,,,,
asalakkaal,,,,,,,
asalam,,,,,,,
asalan,,,,,,,
asalai,,,,,,,
asaRpiradhi,,,,,,,
asan,,,,,,,
asanam,,,,,,,
asanavaedhi,,,,,,,
asani,,,,,,,
ajaakkiradhai,,,,,,,
asaaththiyam,,,,,,,
asaadhaaraNam,,,,,,,
asaavaamai,,,,,,,
asaavidu,,,,,,,
asaavu,,,,,,,
asaavaeri,,,,,,,
asi,,,,,,,
asingam,,,,,,,
asiththu,,,,,,,
aseerththi,,,,,,,
ajeeraNam,,,,,,,
asusi,,,,,,,
asuNam,,,,,,,
asuththam,,,,,,,
asuththi,,,,,,,
asubakkiriyai,,,,,,,
asubam,,,,,,,
asumbu,,,,,,,
asumaanagiri,,,,,,,
asurakruthyam,,,,,,,
asurakiruththiyam,,,,,,,
asurańaaL,,,,,,,
asuram,,,,,,,
asuramaNam,,,,,,,
asuramandhiri,,,,,,,
asurar,,,,,,,
asuravaiththiyam,,,,,,,
asuvagadhi,,,,,,,
asuvagandhi,,,,,,,
asuvasaaththiram,,,,,,,
asuvasaalai,,,,,,,
asuvaththam,,,,,,,
asuvappareetchai,,,,,,,
asuvam,,,,,,,
asuvaarasiyam,,,,,,,
asuvini,,,,,,,
asuvinidhaevar,,,,,,,
asuzham,,,,,,,
asooyai,,,,,,,
asaedhanam,,,,,,,
asai,,,,,,,
asaiyi,,,,,,,
asaiyiyadhu,,,,,,,
asaichcheer,,,,,,,
asaichchol,,,,,,,
asaińilai,,,,,,,
asaippu,,,,,,,
asaipoadudhal,,,,,,,
asaiyaapporuL,,,,,,,
asaiyaamaNi,,,,,,,
asaiyidudhal,,,,,,,
asaiyum poruL,,,,,,,
asaivam,,,,,,,
asaivinmai,,,,,,,
asaivu,,,,,,,
asoagam,,,,,,,
asoagu,,,,,,,
asowkkiyam,,,,,,,
asowgariyam,,,,,,,
asowcham,,,,,,,
anjam,,,,,,,
anjal,,,,,,,
anjal kaasoalai,,,,,,,
anjal kuRiyeetten,,,,,,,
anjal ńilaiyam,,,,,,,
anjalagam,,,,,,,
anjalattai,,,,,,,
anjalam,,,,,,,
anjalar,,,,,,,
anjali,,,,,,,
anjaligai,,,,,,,
anjaRkaaran,,,,,,,
anjaRappetti,,,,,,,
anjanakkoal,,,,,,,
anjanachchalaagai,,,,,,,
anjanam,,,,,,,
anjanavaNNan,,,,,,,
anjanaviththai,,,,,,,
anjanaveRpu,,,,,,,
anjani,,,,,,,
anjanai,,,,,,,
anjaamai,,,,,,,
anjaananam,,,,,,,
anjaananan,,,,,,,
anju,,,,,,,
anjugam,,,,,,,
anjubayam,,,,,,,
anjumaan,,,,,,,
anjevi,,,,,,,
anjezhuththu,,,,,,,
angyngyaadham,,,,,,,
angyngyaadhavaasam,,,,,,,
angyngyaandRu,,,,,,,
angyngyaanam,,,,,,,
angyngyai,,,,,,,
angyar,,,,,,,
atchakkoadu,,,,,,,
atchadhai,,,,,,,
atchapaadhan,,,,,,,
atcham,,,,,,,
atchamaNi,,,,,,,
atchamaalai,,,,,,,
atchaya,,,,,,,
atchayathooNi,,,,,,,
atchayapaaththiram,,,,,,,
atchayam,,,,,,,
atcharakaNidham,,,,,,,
atcharam,,,,,,,
atcharaappiyaasam,,,,,,,
atchaamsam,,,,,,,
atchi,,,,,,,
atsowhiNi,,,,,,,
attakkaRuppu,,,,,,,
attagaasam,,,,,,,
attakoaNam,,,,,,,
attasiththi,,,,,,,
attaNaikkaal,,,,,,,
attadhikkayam,,,,,,,
ashtadhikkajam,,,,,,,
attadhikkuppaalagar,,,,,,,
attańaagabandham,,,,,,,
attapaadham,,,,,,,
attamachchani,,,,,,,
attamam,,,,,,,
attamaasiththi,,,,,,,
attamaańaagam,,,,,,,
attami,,,,,,,
attamoorththam,,,,,,,
attamoorththi,,,,,,,
attal,,,,,,,
attalakkumi,,,,,,,
attalatchumi,,,,,,,
attavaNai,,,,,,,
attavaNaippaduththu,,,,,,,
attaavadhaanam,,,,,,,
attaavadhaani,,,,,,,
atti,,,,,,,
attigai,,,,,,,
attil,,,,,,,
attiRchaalai,,,,,,,
attu,,,,,,,
attoozhiyam,,,,,,,
attai,,,,,,,
ada,,,,,,,
adakkam,,,,,,,
adakkam paNNu,,,,,,,
adakku,,,,,,,
adakkumuRai,,,,,,,
adagu,,,,,,,
adanga,,,,,,,
adangal,,,,,,,
adangalan,,,,,,,
adangalum,,,,,,,
adangavum,,,,,,,
adanganmuRai,,,,,,,
adangaappidaari,,,,,,,
adangaamaari,,,,,,,
adangu,,,,,,,
adadaa,,,,,,,
adathaalam,,,,,,,
adam,,,,,,,
adamaanam,,,,,,,
adayoagam,,,,,,,
adar,,,,,,,
adarththi,,,,,,,
adarppam,,,,,,,
adarvu,,,,,,,
adal,,,,,,,
adali,,,,,,,
adalai,,,,,,,
adavi,,,,,,,
adaa,,,,,,,
ataaNaa,,,,,,,
adaadhadhu,,,,,,,
adaadhu,,,,,,,
adaappazhi,,,,,,,
adaavadi,,,,,,,
adi,,,,,,,
adikkadi,,,,,,,
adikkal,,,,,,,
adikkeezhppaduththu,,,,,,,
adikkoal,,,,,,,
adikoal,,,,,,,
adikoalu,,,,,,,
adichchaal,,,,,,,
adichchi,,,,,,,
adichchiyar,,,,,,,
adichcheeppu,,,,,,,
adichchuvadu,,,,,,,
adisil,,,,,,,
adichiRpuRam,,,,,,,
adichitRaLi,,,,,,,
adiththal,,,,,,,
adiththalam,,,,,,,
adiththaLam,,,,,,,
adiththukkooRu,,,,,,,
adiththukkoNdu poa,,,,,,,
adiththuppidiththu,,,,,,,
adiththozhil,,,,,,,
adiththoazhi,,,,,,,
adidhadi,,,,,,,
adithodu,,,,,,,
adińaa,,,,,,,
adińaaL,,,,,,,
adińilai,,,,,,,
adippadu,,,,,,,
adippaduththu,,,,,,,
adippadai,,,,,,,
adippaNi,,,,,,,
adipadu,,,,,,,
adipaNi,,,,,,,
adipiRakkidu,,,,,,,
adipeyar,,,,,,,
adipoadu,,,,,,,
adimattam,,,,,,,
adimadi,,,,,,,
adimaRimaNdilam,,,,,,,
adimaRimaatRu,,,,,,,
adimanam,,,,,,,
adimaattuvilai,,,,,,,
adimaadu,,,,,,,
adimuttaaL,,,,,,,
adimudi,,,,,,,
adimuraN,,,,,,,
adimai,,,,,,,
adimoanai,,,,,,,
adiyadiyaaga,,,,,,,
adiyańdhaadhi,,,,,,,
adiyavan,,,,,,,
adiyaLapedai,,,,,,,
adiyanaen,,,,,,,
adiyaan,,,,,,,
adiyidu,,,,,,,
adiyiyaibu,,,,,,,
adiyuram,,,,,,,
adiyuRai,,,,,,,
adiyeduththuvai,,,,,,,
adiyedhugai,,,,,,,
adiyaen,,,,,,,
adiyotRu,,,,,,,
adiyoadu,,,,,,,
adivarudi,,,,,,,
adivaangu,,,,,,,
adivaaram,,,,,,,
adivaanam,,,,,,,
adu,,,,,,,
adukkam,,,,,,,
adukkal,,,,,,,
adukkaLai,,,,,,,
adukku,,,,,,,
adukkuththodar,,,,,,,
adukkumeththai,,,,,,,
adukkuL,,,,,,,
adukalam,,,,,,,
adukalan,,,,,,,
adukaLam,,,,,,,
adugai,,,,,,,
aduththa,,,,,,,
aduththaduththu,,,,,,,
aduththamuRai,,,,,,,
aduththu,,,,,,,
aduththuvaral,,,,,,,
aduppangarai,,,,,,,
aduppu,,,,,,,
adae,,,,,,,
adaeyappaa,,,,,,,
adai,,,,,,,
adaikkalanguruvi,,,,,,,
adaikkalam,,,,,,,
adaikkalaanguruvi,,,,,,,
adaikkaay,,,,,,,
adaigal,,,,,,,
adaigaa,,,,,,,
adaigaay,,,,,,,
adaiththuppei,,,,,,,
adaińdhaar,,,,,,,
adaippakkaaran,,,,,,,
adaippam,,,,,,,
adaippaan,,,,,,,
adaippu,,,,,,,
adaippai,,,,,,,
adaimazhai,,,,,,,
adaimaanam,,,,,,,
adaimozhi,,,,,,,
adaiya,,,,,,,
adaiyal,,,,,,,
adaiyalar,,,,,,,
adaiyaadhaar,,,,,,,
adaiyaaLa attai,,,,,,,
adaiyaaLam,,,,,,,
adaivu,,,,,,,
aN,,,,,,,
aNdakkattu,,,,,,,
aNdakadaagam,,,,,,,
aNdagoasam,,,,,,,
aNdakoaLagai,,,,,,,
aNdakoaLam,,,,,,,
aNdangaakkai,,,,,,,
aNdasam,,,,,,,
aNdarappurattan,,,,,,,
aNdappuLugan,,,,,,,
aNdapahiraNdam,,,,,,,
aNdam,,,,,,,
aNdayoani,,,,,,,
aNdar,,,,,,,
aNdalar,,,,,,,
aNdavaaNar,,,,,,,
aNdajam,,,,,,,
aNdaa,,,,,,,
aNdaar,,,,,,,
aNdimaaNdu,,,,,,,
aNdinavan,,,,,,,
aNdu,,,,,,,
aNdai,,,,,,,
aNdaiyayal,,,,,,,
aNNańdhaaL,,,,,,,
aNNam,,,,,,,
aNNal,,,,,,,
aNNan,,,,,,,
aNNaa,,,,,,,
aNNaakku,,,,,,,
aNNaaththal,,,,,,,
aNNaaththai,,,,,,,
aNNaańdhaaL,,,,,,,
aNNaańdhupaar,,,,,,,
aNNaar,,,,,,,
aNNaavi,,,,,,,
aNNi,,,,,,,
aNNippaan,,,,,,,
aNNu,,,,,,,
aNbal,,,,,,,
aNbu,,,,,,,
aNmu,,,,,,,
aNmai,,,,,,,
aNmaichchuttu,,,,,,,
aNmaiviLi,,,,,,,
aNa,,,,,,,
aNangaadu,,,,,,,
aNangu,,,,,,,
aNal,,,,,,,
aNavu,,,,,,,
aNavudhal,,,,,,,
aNaa,,,,,,,
aNi,,,,,,,
aNikalachcheppu,,,,,,,
aNikalam,,,,,,,
aNikalan,,,,,,,
aNiththu,,,,,,,
aNińdhurai,,,,,,,
aNimaa,,,,,,,
aNimai,,,,,,,
aNiyam,,,,,,,
aNiyal,,,,,,,
aNiyan,,,,,,,
aNiyilakkaNam,,,,,,,
aNiyiyal,,,,,,,
aNil,,,,,,,
aNilvarikkodungaay,,,,,,,
aNivagu,,,,,,,
aNivaguppu,,,,,,,
aNiviral,,,,,,,
aNu,,,,,,,
aNuaayudham,,,,,,,
aNu ulai,,,,,,,
aNukkam,,,,,,,
aNukkan,,,,,,,
aNukki,,,,,,,
aNuguNdu,,,,,,,
aNusakthi,,,,,,,
aNuminvisai,,,,near,"aNimai, sameebam",,
aNumai,,,,,,,
aNuviradham,,,,,,,
aNai,,,,,,,
aNaikkattu,,,,,,,
aNaikayiru,,,,,,,
aNaippu,,,,,,,
aNaiyaar,,,,,,,
aththakadagam,,,,,,,
aththagiri,,,,,,,
aththakoaLam,,,,,,,
aththasaamam,,,,,,,
aththaththaa,,,,,,,
aththańaareesuwaran,,,,,,,
aththam,,,,,,,
aththamam,,,,,,,
aththamanam,,,,,,,
aththami,,,,,,,
aththar,,,,,,,
aththan,,,,,,,
aththanai,,,,,,,
aththaatchi,,,,,,,
aththaaNi,,,,,,,
aththaazham,,,,,,,
aththaaLam,,,,,,,
aththaan,,,,,,,
aththi,,,,,,,
aththikoodam,,,,,,,
aththimbaer,,,,,,,
aththimugaththoan,,,,,,,
aththiyańdham,,,,,,,
aththiyayanam,,,,,,,
aththiyaasam,,,,,,,
aththiyaapanam,,,,,,,
aththiyaayam,,,,,,,
aththiyaavasiyam,,,,,,,
aththirasaaththiram,,,,,,,
aththiram,,,,,,,
aththiraviyoogam,,,,,,,
aththiri,,,,,,,
aththivaaram,,,,,,,
aththini,,,,,,,
aththu,,,,,,,
aththuNai,,,,,,,
aththuppadi,,,,,,,
aththumeeru,,,,,,,
aththuvayam,,,,,,,
aththuvaanam,,,,,,,
aththuvidham,,,,,,,
aththuvidheeyam,,,,,,,
aththuvaidham,,,,,,,
aththuvaidhi,,,,,,,
aththai,,,,,,,
aththaippaatti,,,,,,,
adhyayanam,,,,,,,
adhyaayam,,,,,,,
adhyaavasiyam,,,,,,,
adhvayam,,,,,,,
adhvaanam,,,,,,,
adhvitheeyam,,,,,,,
adhvaitham,,,,,,,
adhvaithi,,,,,,,
adhagam,,,,,,,
adhagan,,,,,,,
adhasam,,,,,,,
adhasi,,,,,,,
adhattam,,,,,,,
adhattu,,,,,,,
adham,,,,,,,
adhamabatcham,,,,,,,
adhamam,,,,,,,
adhaman,,,,,,,
adhamaadhamam,,,,,,,
adhar,,,,,,,
adharkoaL,,,,,,,
adharppadu,,,,,,,
adharppaduththal,,,,,,,
adharmam,,,,,,,
adharvaNam,,,,,,,
adharvam,,,,,,,
adharam,,,,,,,
adharikoL,,,,,,,
adharidaichchelavu,,,,,,,
adharidhiri,,,,,,,
adharumam,,,,,,,
adhalkudhalam,,,,,,,
adhalbaadhalam,,,,,,,
adhalam,,,,,,,
adhavam,,,,,,,
adhavu,,,,,,,
adhaL,,,,,,,
adhaa andRu,,,,,,,
adhaadhaa,,,,,,,
adhaavadhu,,,,,,,
adhaandRu,,,,,,,
adhi,,,,,,,
adhikkiramam,,,,,,,
adhikkirami,,,,,,,
adhigappadi,,,,,,,
adhigappadu,,,,,,,
adhigappatRu,,,,,,,
adhigappirasangam,adhigapprasangam,,,,,,
adhigabatcham,,,,,,,
adhigam,,,,,,,
adhigar,,,,,,,
adhigari,,,,,,,
adhigan,,,,,,,
adhigaaram,,,,,,,
adhigaari,,,,,,,
adhikaalam,,,,,,,
adhikaalai,,,,,,,
adhiguNan,,,,,,,
adhingam,,,,,,,
adhisayam,,,,,,,
adhisayi,,,,,,,
adhisayoakthi,,,,,,,
adhisaaram,,,,,,,
adhiseedham,,,,,,,
adhittam,adhirshttam,,,,,,
adhittaanam,,,,,,,
adhidhaaram,,,,,,,
athithi,,,,,,,
athithińaaL,,,,,,,
aththipoojai,,,,,,,
athidhaevadhai,,,,,,,
adhipadhi,,,,,,,
adhipalai,,,,,,,
adhiban,,,,,,,
adhimadhuram,,,,,,,
adhiyamaan,,,,,,,
adhiyar,,,,,,,
adhiyan,,,,,,,
adhir,,,,,,,
adhirchchi,,,,,,,
adhirvu,,,,,,,
adhirvedi,,,,,,,
adhivaettu,,,,,,,
adhirasam,,,,,,,
adhiradi,,,,,,,
adhiradippadai,,,,,,,
adhiradhan,,,,,,,
adhiral,,,,,,,
adhiruttam,,,,,,,
athirupthi,,,,,,,
athirupthiyaaLar,,,,,,,
adhirushttam,adhirshttam,,,,,,
adhiraegam,,,,,,,
adhivirutti,,,,,,,
adhivirushti,,,,,,,
adheetham,,,,,,,
adheethar,,,,,,,
adheenam,,,,,,,
adhu,,,,,,,
adhukku,,,,,,,
adhukaaRum,,,,,,,
adhumbu,,,,,,,
athulam,,,,,,,
adheńdhu,,,,,,,
adhaippu,,,,,,,
adhairiyam,,,,,,,
adhoa,,,,,,,
adhoagadhi,,,,,,,
adhoamugam,,,,,,,
athoaraNan,,,,,,,
athoaL,,,,,,,
athoaLi,,,,,,,
ańdha,,,,,,,
ańdhakkaraNam,,,,,,,
ańdhagan,,,,,,,
ańdhakaaram,,,,,,,
ańdhakaari,,,,,,,
ańdhaNdai,,,,,,,
ańdhaNan,,,,,,,
ańdhaNaaLan,,,,,,,
ańdhańdha,,,,,,,
ańdhappuram,,,,,,,
ańtham,,,,,,,
ańtharkadham,,,,,,,
ańthardhaanam,,,,,,,
ańtharmugam,,,,,,,
ańtharyaami,,,,,,,
ańtharvaahini,,,,,,,
ańtharakkottu,,,,,,,
ańtharangam,,,,,,,
ańtharasaari,,,,,,,
ańdharadi,,,,,,,
ańdharathuńdhubi,,,,,,,
ańtharańadhi ,,,,,,,
ańtharam,,,,,,,
ańtharar,,,,,,,
ańtharaathmaa,,,,,,,
ańthari,,,,,,,
ańthariyaami,,,,,,,
ańthaLam,,,,,,,
ańthan,,,,,,,
ańdhaadhi,,,,,,,
ańdhi,,,,,,,
ańdhikkadai,,,,,,,
ańdhikkaappu,,,,,,,
ańdhikkaalam,,,,,,,
ańdhisańdhi,,,,,,,
ańdhińatchaththiram,,,,,,,
ańdhippozhdhu,,,,,,,
ańdhippagal,,,,,,,
ańthimakaalam,,,,,,,
ańthimadhasai,,,,,,,
ańdhimańdhaaram,,,,,,,
ańdhimańdhaarai,,,,,,,
ańthimam,,,,,,,
ańdhimaalai,,,,,,,
ańdhiyakkiriyai,,,,,,,
ańthiyakaalam,,,,,,,
ańdhil,,,,,,,
ańdhivaNNan,,,,,,,
ańdhu,,,,,,,
ańdhugam,,,,,,,
ańdhoa,,,,,,,
ańńiyaputtam,,,,,,,
ańńiyam,,,,,,,
ańńiyamaakku,,,,,,,
ańńiyar,,,,,,,
ańagan,,,,,,,
ańangam,,,,,,,
ańangan,,,,,,,
ańaththam,,,,,,,
ańaththiyayanam,,,,,,,
ańańthasayanan,,,,,,,
ańańtham,,,,,,,
ańabaayan,,,,,,,
ańalam,,,,,,,
ańavaradham,,,,,,,
ańavaradhamum,,,,,,,
ańaagarigam,,,,,,,
ańaachaaram,,,,,,,
ańaadharatchagan,,,,,,,
ańaadhi,,,,,,,
ańaadhai,,,,,,,
ańaamadhaeyan,,,,,,,
ańaamikai,,,,,,,
ańaayagam,,,,,,,
ańaayaasam,,,,,,,
ańaavasiyam,,,,,,,
ańaavirutti,,,,,,,
ańaavirushti,,,,,,,
ańigam,,,,,,,
ańichchai,,,,,,,
ańiththam,,,,,,,
ańiththiyam,,,,,,,
ańiyaayam,,,,,,,
ańilam,,,,,,,
ańeedhi,,,,,,,
ańuggiragam,,,,,,,
ańukaraNavoasai,,,,,,,
ańukoolam,,,,,,,
ańusańdhaanam,,,,,,,
ańusaraNai,,,,,,,
ańusari,,,,,,,
ańusan,,,,,,,
ańuchidham,,,,,,,
ańuttaanam,,,,,,,
ańudhaabam,,,,,,,
ańudhinam,,,,,,,
ańudhinamum,,,,,,,
ańubańdham,,,,,,,
ańupallavi,,,,,,,
ańubavam,,,,,,,
ańubavi,,,,,,,
ańubaanam,,,,,,,
ańuboodhi,,,,,,,
ańumadhi,,,,,,,
ańuman,,,,,,,
ańumaan,,,,,,,
ańumaanam,,,,,,,
ańumaani,,,,,,,
ańuraagam,,,,,,,
ańuloaman,,,,,,,
ańujan,,,,,,,
ańushtaanam,,,,,,,
ańaegam,,,,,,,
ańaegamaaga,,,,,,,
apsarasu,,,,,,,
apdhapoorththi,,,,,,,
apdham,,,,,,,
appachchi,,,,,,,
appattam,,,,,,,
appadi,,,,,,,
appaNai,,,,,,,
appappa,,,,,,,
appappaa,,,,,,,
appam,,,,,,,
appar,,,,,,,
appazhakku,,,,,,,
appaLam,,,,,,,
appaLaam,,,,,,,
appan,,,,,,,
appaa,,,,,,,
appaadaa,,,,,,,
appaadi,,,,,,,
appaal,,,,,,,
appaavi,,,,,,,
appaaRpadu,,,,,,,
abyangam,,,,,,,
abyanganam,,,,,,,
abbiyasi,,,,,,,
abbiyaasam,,,,,,,
appiragam,,,,,,,
appirasiththam,,,,,,,
appiradhatchiNam,,,,,,,
appiraaNi,,,,,,,
appu,,,,,,,
appulingam,,,,,,,
appuRappaduththu,,,,,,,
appuRam,,,,,,,
appoochchikaattu,,,,,,,
appozhudhu,,,,,,,
appoadhu,,,,,,,
appoadhaikkappoadhu,,,,,,,
appoadhaikku,,,,,,,
appoazhdhu,,,,,,,
abakyaadhi,,,,,,,
apakkuvam,,,,,,,
apakkuvan,,,,,,,
abakari,,,,,,,
abakaaram,,,,,,,
abakeerththi,,,,,,,
abasagunam,,,,,,,
abachaaram,,,,,,,
abaththam,,,,,,,
abaththiyam,,,,,,,
abamiruththiyu,,,,,,,
abamiruththu,,,,,,,
abayagaram,,,,,,,
abayadhaanam,,,,,,,
abayappiradhaanam,,,,,,,
abayam,,,,,,,
abayamidu,,,,,,,
abayavaakku,,,,,,,
abayan,,,,,,,
abarakkiriyai,,,,,,,
aparanji,,,,,,,
aparangyaanam,,,,,,,
aparam,,,,,,,
